,Frame,camera_Rotation_X,camera_Rotation_Y,camera_Rotation_Z,camera_Rotation_W,camera_Position_X,camera_Position_Y,camera_Position_Z
0,0,0.689359225492034,0.6838371716497618,-0.1662851551611502,-0.17175513987100782,0.8735242486000061,0.2059740573167801,0.5820750594139099
1,1,0.6893230947561577,0.6838472826696766,-0.16640403787183092,-0.1717447559637352,0.8705963492393494,0.20274674892425537,0.5820186138153076
2,2,0.6892858432192446,0.6838916649554444,-0.16643911032176195,-0.1716835446317023,0.8703711628913879,0.20280882716178894,0.5820486545562744
3,3,0.6891732869522159,0.6840168295777149,-0.16655185808156325,-0.17152736217731776,0.8701404929161072,0.20314840972423553,0.5820619463920593
4,4,0.689102220859398,0.6841765633529623,-0.1667244467021626,-0.17100736310765477,0.8697598576545715,0.2036217451095581,0.5823285579681396
5,5,0.6889196834671109,0.6844608829912643,-0.1669352100196571,-0.17039837159458845,0.8692760467529297,0.20441868901252747,0.5826391577720642
6,6,0.6888268207369166,0.6845229201415002,-0.1670494439506551,-0.17041263483146435,0.8691359758377075,0.20460361242294312,0.5824856758117676
7,7,0.6886474134387431,0.6844218213313904,-0.16787556518006702,-0.17073167563467626,0.8689218163490295,0.20466260612010956,0.5831550359725952
8,8,0.6893103209989383,0.684136911714699,-0.16754024659967157,-0.16952354751814366,0.8712404370307922,0.1961088627576828,0.5860971808433533
9,9,0.6890565680478915,0.6841193085003222,-0.16856013999539182,-0.16961514369842176,0.8742108345031738,0.18445423245429993,0.5838031768798828
10,10,0.68964196977475,0.6833878332052639,-0.16858430249502918,-0.1701597952058061,0.8614426851272583,0.17431363463401794,0.5848516225814819
11,11,0.6903310586907259,0.6826052226241082,-0.1669700531255947,-0.1720875963353239,0.8416034579277039,0.16986152529716492,0.588008463382721
12,12,0.6748120203708651,0.6985875958786729,-0.16887148368321325,-0.16759036382226009,0.8382666110992432,0.17701682448387146,0.5888685584068298
13,13,0.6670831243865359,0.7052239152297505,-0.1614026859317323,-0.1777878160075707,0.8448687195777893,0.1639118194580078,0.5845768451690674
14,14,0.6584674565823382,0.7100043939078605,-0.16174773018522332,-0.1901369007674378,0.8574001789093018,0.15685445070266724,0.5774111747741699
15,15,0.6493624209722199,0.7131120462660417,-0.16803027744344604,-0.20387614269853854,0.8733342885971069,0.15500129759311676,0.5666397213935852
16,16,0.6408123170168162,0.7151489228540653,-0.17482016761187003,-0.21762238280187862,0.890038251876831,0.15311719477176666,0.5549361109733582
17,17,0.6824940725392615,0.6913578949906776,-0.16978703809809134,-0.1655248128732061,0.8352958559989929,0.17995522916316986,0.5904703140258789
18,18,0.6328627092360832,0.7160256697080324,-0.18220297451962578,-0.23150401217631006,0.9064035415649414,0.15192118287086487,0.5428829193115234
19,19,0.6182779042280725,0.7153251335530145,-0.1978177354005708,-0.25867069801524495,0.939273476600647,0.1488897055387497,0.5168354511260986
20,20,0.6131499211385988,0.712980051617488,-0.20510206827176292,-0.2713664713885991,0.95474773645401,0.14517463743686676,0.5037693977355957
21,21,0.6074366750302256,0.7115323592838637,-0.2114820573283934,-0.2828740478522427,0.9668521285057068,0.14130893349647522,0.49379420280456543
